127.0.0.1 - - [21/Jul/2017:11:57:31 +0800] "GET / HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/css/vendor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/css/timeline.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/institutions.jsp HTTP/1.1" 200 22580
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/assets/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/assets/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/assets/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:32 +0800] "GET /Paws/fonts/Roboto-Thin.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:33 +0800] "GET /Paws/assets/vid.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:57:33 +0800] "GET /favicon.ico HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [21/Jul/2017:11:58:13 +0800] "GET /Paws/Institutions HTTP/1.1" 200 33342
